appearance_id,capture_date,bee_number,assigned_tag,tag_type,tag_id,status,image_count,angles,declared_tags,decoder_statuses,review_flags,source_assigned_tag,source_status,reviewed_tag,review_status,review_note,domain_status,analysis_included
2026-05-28/bee-37,2026-05-28,37,aruco:21,aruco,21,assigned,1,1,aruco:21,decoder_no_confirmation,decoder_did_not_confirm_all_images,aruco:21,assigned,aruco:21,confirmed,,in_domain,true
2026-05-28/bee-38,2026-05-28,38,aruco:38,aruco,38,assigned,1,1,aruco:38,decoder_conflict,decoder_competition_or_disagreement,aruco:38,assigned,aruco:38,confirmed,,in_domain,true
2026-05-28/bee-39,2026-05-28,39,aruco:26,aruco,26,assigned,2,1;2,aruco:26,decoder_no_confirmation,decoder_did_not_confirm_all_images,aruco:26,assigned,aruco:26,confirmed,,in_domain,true
2026-05-28/bee-40,2026-05-28,40,aruco:48,aruco,48,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:48,confirmed,,in_domain,true
2026-05-28/bee-41,2026-05-28,41,aruco:7,aruco,7,assigned,1,1,aruco:7,decoder_conflict,decoder_competition_or_disagreement,aruco:7,assigned,aruco:7,confirmed,,in_domain,true
2026-05-28/bee-42,2026-05-28,42,aruco:36,aruco,36,assigned,1,1,aruco:36,decoder_conflict,decoder_competition_or_disagreement,aruco:36,assigned,aruco:36,confirmed,,in_domain,true
2026-05-29/bee-1,2026-05-29,1,aruco:8,aruco,8,assigned,1,1,aruco:8,decoder_conflict,decoder_competition_or_disagreement,aruco:8,assigned,aruco:8,confirmed,,in_domain,true
2026-05-29/bee-2,2026-05-29,2,aruco:19,aruco,19,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:19,confirmed,,in_domain,true
2026-05-29/bee-3,2026-05-29,3,aruco:27,aruco,27,assigned,3,1;2;3,,decoder_found_id;no_tag_decoded,decoder_competition_or_disagreement;decoder_did_not_confirm_all_images,,missing_tag,aruco:27,confirmed,,in_domain,true
2026-05-29/bee-4,2026-05-29,4,aruco:37,aruco,37,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:37,confirmed,,in_domain,true
2026-05-29/bee-5,2026-05-29,5,aruco:2,aruco,2,assigned,2,1;2,aruco:2,decoder_confirmed_with_competing_ids;decoder_conflict,decoder_competition_or_disagreement,aruco:2,assigned,aruco:2,confirmed,,in_domain,true
2026-05-29/bee-6,2026-05-29,6,aruco:9,aruco,9,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:9,confirmed,,in_domain,true
2026-05-29/bee-7,2026-05-29,7,aruco:29,aruco,29,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:29,confirmed,,in_domain,true
2026-05-29/bee-8,2026-05-29,8,aruco:22,aruco,22,assigned,1,1,aruco:22,decoder_confirmed,,aruco:22,assigned,aruco:22,confirmed,,in_domain,true
2026-05-29/bee-9,2026-05-29,9,aruco:12,aruco,12,assigned,1,1,aruco:12,decoder_conflict,decoder_competition_or_disagreement,aruco:12,assigned,aruco:12,confirmed,,in_domain,true
2026-05-29/bee-10,2026-05-29,10,aruco:5,aruco,5,assigned,1,1,aruco:5,decoder_conflict,decoder_competition_or_disagreement,aruco:5,assigned,aruco:5,confirmed,,in_domain,true
2026-05-29/bee-11,2026-05-29,11,aruco:24,aruco,24,assigned,1,1,aruco:24,decoder_confirmed,,aruco:24,assigned,aruco:24,confirmed,,in_domain,true
2026-05-29/bee-12,2026-05-29,12,aruco:33,aruco,33,assigned,1,1,aruco:33,decoder_confirmed,,aruco:33,assigned,aruco:33,confirmed,,in_domain,true
2026-05-29/bee-13,2026-05-29,13,aruco:20,aruco,20,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:20,confirmed,,in_domain,true
2026-05-29/bee-14,2026-05-29,14,aruco:11,aruco,11,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:11,confirmed,,in_domain,true
2026-05-29/bee-15,2026-05-29,15,aruco:43,aruco,43,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:43,confirmed,,in_domain,true
2026-05-29/bee-16,2026-05-29,16,aruco:32,aruco,32,assigned,1,1,aruco:32,decoder_conflict,decoder_competition_or_disagreement,aruco:32,assigned,aruco:32,confirmed,,in_domain,true
